id,sku,name,category,price,currency,description
1,SKU-00001,Office Item 1,office,15.49,USD,Sample description 1
2,SKU-00002,Outdoors Item 2,outdoors,13.84,USD,Sample description 2
3,SKU-00003,Books Item 3,books,35.23,USD,Sample description 3
4,SKU-00004,Electronics Item 4,electronics,363.68,USD,Sample description 4
5,SKU-00005,Tools Item 5,tools,388.35,USD,Sample description 5
6,SKU-00006,Office Item 6,office,317.89,USD,Sample description 6
7,SKU-00007,Fitness Item 7,fitness,375.36,USD,Sample description 7
8,SKU-00008,Toys Item 8,toys,153.87,USD,Sample description 8
9,SKU-00009,Fitness Item 9,fitness,191.5,USD,Sample description 9
10,SKU-00010,Tools Item 10,tools,363.55,USD,Sample description 10
11,SKU-00011,Kitchen Item 11,kitchen,238.26,USD,Sample description 11
12,SKU-00012,Toys Item 12,toys,290.74,USD,Sample description 12
13,SKU-00013,Outdoors Item 13,outdoors,142.42,USD,Sample description 13
14,SKU-00014,Fitness Item 14,fitness,391.21,USD,Sample description 14
15,SKU-00015,Electronics Item 15,electronics,195.41,USD,Sample description 15
16,SKU-00016,Books Item 16,books,32.81,USD,Sample description 16
17,SKU-00017,Kitchen Item 17,kitchen,66.19,USD,Sample description 17
18,SKU-00018,Electronics Item 18,electronics,201.78,USD,Sample description 18
19,SKU-00019,Fitness Item 19,fitness,238.64,USD,Sample description 19
20,SKU-00020,Books Item 20,books,135.94,USD,Sample description 20
21,SKU-00021,Fitness Item 21,fitness,465.11,USD,Sample description 21
22,SKU-00022,Kitchen Item 22,kitchen,124.87,USD,Sample description 22
23,SKU-00023,Toys Item 23,toys,331.7,USD,Sample description 23
24,SKU-00024,Kitchen Item 24,kitchen,361.76,USD,Sample description 24
25,SKU-00025,Toys Item 25,toys,253.12,USD,Sample description 25
26,SKU-00026,Books Item 26,books,308.82,USD,Sample description 26
27,SKU-00027,Outdoors Item 27,outdoors,143.2,USD,Sample description 27
28,SKU-00028,Office Item 28,office,37.01,USD,Sample description 28
29,SKU-00029,Fitness Item 29,fitness,90.68,USD,Sample description 29
30,SKU-00030,Tools Item 30,tools,324.2,USD,Sample description 30
31,SKU-00031,Office Item 31,office,203.51,USD,Sample description 31
32,SKU-00032,Toys Item 32,toys,440.74,USD,Sample description 32
33,SKU-00033,Office Item 33,office,416.74,USD,Sample description 33
34,SKU-00034,Outdoors Item 34,outdoors,119.68,USD,Sample description 34
35,SKU-00035,Fitness Item 35,fitness,39.55,USD,Sample description 35
36,SKU-00036,Kitchen Item 36,kitchen,76.31,USD,Sample description 36
37,SKU-00037,Kitchen Item 37,kitchen,101.38,USD,Sample description 37
38,SKU-00038,Office Item 38,office,108.28,USD,Sample description 38
39,SKU-00039,Tools Item 39,tools,102.14,USD,Sample description 39
40,SKU-00040,Fitness Item 40,fitness,465.63,USD,Sample description 40
41,SKU-00041,Toys Item 41,toys,308.47,USD,Sample description 41
42,SKU-00042,Outdoors Item 42,outdoors,289.68,USD,Sample description 42
43,SKU-00043,Kitchen Item 43,kitchen,325.61,USD,Sample description 43
44,SKU-00044,Books Item 44,books,94.62,USD,Sample description 44
45,SKU-00045,Fitness Item 45,fitness,368.42,USD,Sample description 45
46,SKU-00046,Kitchen Item 46,kitchen,428.6,USD,Sample description 46
47,SKU-00047,Books Item 47,books,123.77,USD,Sample description 47
48,SKU-00048,Toys Item 48,toys,292.04,USD,Sample description 48
49,SKU-00049,Kitchen Item 49,kitchen,135.56,USD,Sample description 49
50,SKU-00050,Outdoors Item 50,outdoors,452.83,USD,Sample description 50
51,SKU-00051,Office Item 51,office,121.88,USD,Sample description 51
52,SKU-00052,Toys Item 52,toys,220.61,USD,Sample description 52
53,SKU-00053,Electronics Item 53,electronics,366.44,USD,Sample description 53
54,SKU-00054,Books Item 54,books,392.74,USD,Sample description 54
55,SKU-00055,Books Item 55,books,391.6,USD,Sample description 55
56,SKU-00056,Toys Item 56,toys,218.17,USD,Sample description 56
57,SKU-00057,Kitchen Item 57,kitchen,118.85,USD,Sample description 57
58,SKU-00058,Electronics Item 58,electronics,142.84,USD,Sample description 58
59,SKU-00059,Outdoors Item 59,outdoors,98.84,USD,Sample description 59
60,SKU-00060,Fitness Item 60,fitness,198.33,USD,Sample description 60
61,SKU-00061,Kitchen Item 61,kitchen,394.99,USD,Sample description 61
62,SKU-00062,Kitchen Item 62,kitchen,341.86,USD,Sample description 62
63,SKU-00063,Toys Item 63,toys,17.57,USD,Sample description 63
64,SKU-00064,Toys Item 64,toys,178.36,USD,Sample description 64
65,SKU-00065,Fitness Item 65,fitness,236.87,USD,Sample description 65
66,SKU-00066,Electronics Item 66,electronics,280.23,USD,Sample description 66
67,SKU-00067,Outdoors Item 67,outdoors,101.27,USD,Sample description 67
68,SKU-00068,Outdoors Item 68,outdoors,257.95,USD,Sample description 68
69,SKU-00069,Fitness Item 69,fitness,117.92,USD,Sample description 69
70,SKU-00070,Toys Item 70,toys,258.69,USD,Sample description 70
71,SKU-00071,Outdoors Item 71,outdoors,8.64,USD,Sample description 71
72,SKU-00072,Office Item 72,office,90.48,USD,Sample description 72
73,SKU-00073,Tools Item 73,tools,49.1,USD,Sample description 73
74,SKU-00074,Electronics Item 74,electronics,264.63,USD,Sample description 74
75,SKU-00075,Office Item 75,office,200.1,USD,Sample description 75
76,SKU-00076,Kitchen Item 76,kitchen,373.45,USD,Sample description 76
77,SKU-00077,Outdoors Item 77,outdoors,271.4,USD,Sample description 77
78,SKU-00078,Outdoors Item 78,outdoors,475.23,USD,Sample description 78
79,SKU-00079,Fitness Item 79,fitness,262.98,USD,Sample description 79
80,SKU-00080,Kitchen Item 80,kitchen,185.66,USD,Sample description 80
81,SKU-00081,Office Item 81,office,41.36,USD,Sample description 81
82,SKU-00082,Outdoors Item 82,outdoors,228.06,USD,Sample description 82
83,SKU-00083,Fitness Item 83,fitness,487.36,USD,Sample description 83
84,SKU-00084,Books Item 84,books,151.47,USD,Sample description 84
85,SKU-00085,Kitchen Item 85,kitchen,104.74,USD,Sample description 85
86,SKU-00086,Kitchen Item 86,kitchen,359.04,USD,Sample description 86
87,SKU-00087,Office Item 87,office,478.01,USD,Sample description 87
88,SKU-00088,Toys Item 88,toys,82.13,USD,Sample description 88
89,SKU-00089,Outdoors Item 89,outdoors,206.52,USD,Sample description 89
90,SKU-00090,Outdoors Item 90,outdoors,89.71,USD,Sample description 90
91,SKU-00091,Toys Item 91,toys,26.08,USD,Sample description 91
92,SKU-00092,Outdoors Item 92,outdoors,98.26,USD,Sample description 92
93,SKU-00093,Fitness Item 93,fitness,95.63,USD,Sample description 93
94,SKU-00094,Kitchen Item 94,kitchen,257.64,USD,Sample description 94
95,SKU-00095,Outdoors Item 95,outdoors,35.85,USD,Sample description 95
96,SKU-00096,Toys Item 96,toys,20.23,USD,Sample description 96
97,SKU-00097,Kitchen Item 97,kitchen,68.57,USD,Sample description 97
98,SKU-00098,Tools Item 98,tools,29.43,USD,Sample description 98
99,SKU-00099,Kitchen Item 99,kitchen,333.48,USD,Sample description 99
100,SKU-00100,Kitchen Item 100,kitchen,173.75,USD,Sample description 100
101,SKU-00101,Tools Item 101,tools,215.54,USD,Sample description 101
102,SKU-00102,Toys Item 102,toys,100.68,USD,Sample description 102
103,SKU-00103,Tools Item 103,tools,478.09,USD,Sample description 103
104,SKU-00104,Fitness Item 104,fitness,435.32,USD,Sample description 104
105,SKU-00105,Tools Item 105,tools,69.2,USD,Sample description 105
106,SKU-00106,Office Item 106,office,10.49,USD,Sample description 106
107,SKU-00107,Office Item 107,office,97.56,USD,Sample description 107
108,SKU-00108,Fitness Item 108,fitness,119.47,USD,Sample description 108
109,SKU-00109,Outdoors Item 109,outdoors,125.45,USD,Sample description 109
110,SKU-00110,Electronics Item 110,electronics,358.96,USD,Sample description 110
111,SKU-00111,Books Item 111,books,14.45,USD,Sample description 111
112,SKU-00112,Electronics Item 112,electronics,299.59,USD,Sample description 112
113,SKU-00113,Kitchen Item 113,kitchen,129.28,USD,Sample description 113
114,SKU-00114,Fitness Item 114,fitness,96.74,USD,Sample description 114
115,SKU-00115,Electronics Item 115,electronics,310.42,USD,Sample description 115
116,SKU-00116,Office Item 116,office,198.05,USD,Sample description 116
117,SKU-00117,Books Item 117,books,193.97,USD,Sample description 117
118,SKU-00118,Toys Item 118,toys,194.14,USD,Sample description 118
119,SKU-00119,Outdoors Item 119,outdoors,225.71,USD,Sample description 119
120,SKU-00120,Tools Item 120,tools,246.75,USD,Sample description 120
121,SKU-00121,Books Item 121,books,366.12,USD,Sample description 121
122,SKU-00122,Books Item 122,books,408.63,USD,Sample description 122
123,SKU-00123,Kitchen Item 123,kitchen,272.22,USD,Sample description 123
124,SKU-00124,Office Item 124,office,185.57,USD,Sample description 124
125,SKU-00125,Fitness Item 125,fitness,118.51,USD,Sample description 125
126,SKU-00126,Tools Item 126,tools,187.15,USD,Sample description 126
127,SKU-00127,Fitness Item 127,fitness,215.66,USD,Sample description 127
128,SKU-00128,Tools Item 128,tools,332.35,USD,Sample description 128
129,SKU-00129,Office Item 129,office,19.96,USD,Sample description 129
130,SKU-00130,Fitness Item 130,fitness,414.16,USD,Sample description 130
131,SKU-00131,Books Item 131,books,181.17,USD,Sample description 131
132,SKU-00132,Electronics Item 132,electronics,471.07,USD,Sample description 132
133,SKU-00133,Fitness Item 133,fitness,485.33,USD,Sample description 133
134,SKU-00134,Tools Item 134,tools,434.21,USD,Sample description 134
135,SKU-00135,Fitness Item 135,fitness,131.01,USD,Sample description 135
136,SKU-00136,Electronics Item 136,electronics,373.32,USD,Sample description 136
137,SKU-00137,Tools Item 137,tools,395.4,USD,Sample description 137
138,SKU-00138,Fitness Item 138,fitness,365.25,USD,Sample description 138
139,SKU-00139,Toys Item 139,toys,495.49,USD,Sample description 139
140,SKU-00140,Toys Item 140,toys,21.78,USD,Sample description 140
141,SKU-00141,Books Item 141,books,139.15,USD,Sample description 141
142,SKU-00142,Toys Item 142,toys,332.66,USD,Sample description 142
143,SKU-00143,Tools Item 143,tools,412.19,USD,Sample description 143
144,SKU-00144,Electronics Item 144,electronics,464.51,USD,Sample description 144
145,SKU-00145,Outdoors Item 145,outdoors,155.48,USD,Sample description 145
146,SKU-00146,Outdoors Item 146,outdoors,97.63,USD,Sample description 146
147,SKU-00147,Tools Item 147,tools,282.9,USD,Sample description 147
148,SKU-00148,Tools Item 148,tools,81.41,USD,Sample description 148
149,SKU-00149,Electronics Item 149,electronics,494.31,USD,Sample description 149
150,SKU-00150,Kitchen Item 150,kitchen,124.33,USD,Sample description 150
151,SKU-00151,Outdoors Item 151,outdoors,138.74,USD,Sample description 151
152,SKU-00152,Tools Item 152,tools,499.76,USD,Sample description 152
153,SKU-00153,Books Item 153,books,368.54,USD,Sample description 153
154,SKU-00154,Electronics Item 154,electronics,431.96,USD,Sample description 154
155,SKU-00155,Toys Item 155,toys,254.0,USD,Sample description 155
156,SKU-00156,Kitchen Item 156,kitchen,63.59,USD,Sample description 156
157,SKU-00157,Toys Item 157,toys,322.95,USD,Sample description 157
158,SKU-00158,Electronics Item 158,electronics,461.96,USD,Sample description 158
159,SKU-00159,Tools Item 159,tools,371.85,USD,Sample description 159
160,SKU-00160,Kitchen Item 160,kitchen,267.82,USD,Sample description 160
161,SKU-00161,Toys Item 161,toys,228.65,USD,Sample description 161
162,SKU-00162,Toys Item 162,toys,45.7,USD,Sample description 162
163,SKU-00163,Kitchen Item 163,kitchen,369.26,USD,Sample description 163
164,SKU-00164,Books Item 164,books,42.63,USD,Sample description 164
165,SKU-00165,Toys Item 165,toys,470.43,USD,Sample description 165
166,SKU-00166,Outdoors Item 166,outdoors,186.8,USD,Sample description 166
167,SKU-00167,Electronics Item 167,electronics,383.58,USD,Sample description 167
168,SKU-00168,Fitness Item 168,fitness,356.41,USD,Sample description 168
169,SKU-00169,Toys Item 169,toys,137.71,USD,Sample description 169
170,SKU-00170,Tools Item 170,tools,21.62,USD,Sample description 170
171,SKU-00171,Kitchen Item 171,kitchen,54.3,USD,Sample description 171
172,SKU-00172,Electronics Item 172,electronics,280.25,USD,Sample description 172
173,SKU-00173,Books Item 173,books,163.05,USD,Sample description 173
174,SKU-00174,Fitness Item 174,fitness,425.38,USD,Sample description 174
175,SKU-00175,Outdoors Item 175,outdoors,65.45,USD,Sample description 175
176,SKU-00176,Office Item 176,office,15.47,USD,Sample description 176
177,SKU-00177,Electronics Item 177,electronics,390.98,USD,Sample description 177
178,SKU-00178,Books Item 178,books,90.42,USD,Sample description 178
179,SKU-00179,Fitness Item 179,fitness,25.95,USD,Sample description 179
180,SKU-00180,Books Item 180,books,60.05,USD,Sample description 180
181,SKU-00181,Outdoors Item 181,outdoors,262.33,USD,Sample description 181
182,SKU-00182,Fitness Item 182,fitness,374.66,USD,Sample description 182
183,SKU-00183,Tools Item 183,tools,350.62,USD,Sample description 183
184,SKU-00184,Fitness Item 184,fitness,341.99,USD,Sample description 184
185,SKU-00185,Outdoors Item 185,outdoors,62.46,USD,Sample description 185
186,SKU-00186,Outdoors Item 186,outdoors,214.24,USD,Sample description 186
187,SKU-00187,Tools Item 187,tools,206.33,USD,Sample description 187
188,SKU-00188,Outdoors Item 188,outdoors,133.75,USD,Sample description 188
189,SKU-00189,Tools Item 189,tools,136.84,USD,Sample description 189
190,SKU-00190,Books Item 190,books,486.91,USD,Sample description 190
191,SKU-00191,Toys Item 191,toys,99.4,USD,Sample description 191
192,SKU-00192,Kitchen Item 192,kitchen,285.48,USD,Sample description 192
193,SKU-00193,Tools Item 193,tools,139.08,USD,Sample description 193
194,SKU-00194,Fitness Item 194,fitness,328.45,USD,Sample description 194
195,SKU-00195,Tools Item 195,tools,120.31,USD,Sample description 195
196,SKU-00196,Outdoors Item 196,outdoors,323.29,USD,Sample description 196
197,SKU-00197,Books Item 197,books,455.14,USD,Sample description 197
198,SKU-00198,Tools Item 198,tools,325.61,USD,Sample description 198
199,SKU-00199,Books Item 199,books,182.65,USD,Sample description 199
200,SKU-00200,Office Item 200,office,372.88,USD,Sample description 200
201,SKU-00201,Office Item 201,office,227.47,USD,Sample description 201
202,SKU-00202,Tools Item 202,tools,431.39,USD,Sample description 202
203,SKU-00203,Tools Item 203,tools,224.32,USD,Sample description 203
204,SKU-00204,Toys Item 204,toys,160.67,USD,Sample description 204
205,SKU-00205,Office Item 205,office,188.05,USD,Sample description 205
206,SKU-00206,Outdoors Item 206,outdoors,407.18,USD,Sample description 206
207,SKU-00207,Electronics Item 207,electronics,339.79,USD,Sample description 207
208,SKU-00208,Books Item 208,books,177.5,USD,Sample description 208
209,SKU-00209,Kitchen Item 209,kitchen,36.31,USD,Sample description 209
210,SKU-00210,Toys Item 210,toys,235.09,USD,Sample description 210
211,SKU-00211,Toys Item 211,toys,299.28,USD,Sample description 211
212,SKU-00212,Electronics Item 212,electronics,410.57,USD,Sample description 212
213,SKU-00213,Toys Item 213,toys,283.7,USD,Sample description 213
214,SKU-00214,Books Item 214,books,213.83,USD,Sample description 214
215,SKU-00215,Books Item 215,books,89.51,USD,Sample description 215
216,SKU-00216,Electronics Item 216,electronics,380.5,USD,Sample description 216
217,SKU-00217,Books Item 217,books,191.72,USD,Sample description 217
218,SKU-00218,Electronics Item 218,electronics,154.09,USD,Sample description 218
219,SKU-00219,Office Item 219,office,98.99,USD,Sample description 219
220,SKU-00220,Toys Item 220,toys,126.11,USD,Sample description 220
221,SKU-00221,Books Item 221,books,297.4,USD,Sample description 221
222,SKU-00222,Tools Item 222,tools,79.35,USD,Sample description 222
223,SKU-00223,Fitness Item 223,fitness,413.2,USD,Sample description 223
224,SKU-00224,Outdoors Item 224,outdoors,140.75,USD,Sample description 224
225,SKU-00225,Toys Item 225,toys,497.78,USD,Sample description 225
226,SKU-00226,Kitchen Item 226,kitchen,495.6,USD,Sample description 226
227,SKU-00227,Outdoors Item 227,outdoors,292.22,USD,Sample description 227
228,SKU-00228,Tools Item 228,tools,22.48,USD,Sample description 228
229,SKU-00229,Outdoors Item 229,outdoors,350.38,USD,Sample description 229
230,SKU-00230,Books Item 230,books,324.78,USD,Sample description 230
231,SKU-00231,Electronics Item 231,electronics,215.38,USD,Sample description 231
232,SKU-00232,Toys Item 232,toys,68.17,USD,Sample description 232
233,SKU-00233,Tools Item 233,tools,254.02,USD,Sample description 233
234,SKU-00234,Books Item 234,books,140.17,USD,Sample description 234
235,SKU-00235,Fitness Item 235,fitness,88.2,USD,Sample description 235
236,SKU-00236,Fitness Item 236,fitness,467.86,USD,Sample description 236
237,SKU-00237,Electronics Item 237,electronics,376.95,USD,Sample description 237
238,SKU-00238,Kitchen Item 238,kitchen,175.1,USD,Sample description 238
239,SKU-00239,Tools Item 239,tools,417.72,USD,Sample description 239
240,SKU-00240,Tools Item 240,tools,141.43,USD,Sample description 240
241,SKU-00241,Electronics Item 241,electronics,39.56,USD,Sample description 241
242,SKU-00242,Outdoors Item 242,outdoors,146.14,USD,Sample description 242
243,SKU-00243,Office Item 243,office,94.08,USD,Sample description 243
244,SKU-00244,Electronics Item 244,electronics,465.37,USD,Sample description 244
245,SKU-00245,Toys Item 245,toys,429.42,USD,Sample description 245
246,SKU-00246,Office Item 246,office,77.81,USD,Sample description 246
247,SKU-00247,Fitness Item 247,fitness,337.05,USD,Sample description 247
248,SKU-00248,Electronics Item 248,electronics,64.08,USD,Sample description 248
249,SKU-00249,Electronics Item 249,electronics,168.53,USD,Sample description 249
250,SKU-00250,Books Item 250,books,412.67,USD,Sample description 250
251,SKU-00251,Office Item 251,office,33.05,USD,Sample description 251
252,SKU-00252,Office Item 252,office,455.53,USD,Sample description 252
253,SKU-00253,Fitness Item 253,fitness,91.14,USD,Sample description 253
254,SKU-00254,Office Item 254,office,485.74,USD,Sample description 254
255,SKU-00255,Tools Item 255,tools,485.58,USD,Sample description 255
256,SKU-00256,Tools Item 256,tools,492.44,USD,Sample description 256
257,SKU-00257,Outdoors Item 257,outdoors,104.89,USD,Sample description 257
258,SKU-00258,Outdoors Item 258,outdoors,137.43,USD,Sample description 258
259,SKU-00259,Office Item 259,office,459.68,USD,Sample description 259
260,SKU-00260,Tools Item 260,tools,429.25,USD,Sample description 260
261,SKU-00261,Fitness Item 261,fitness,278.2,USD,Sample description 261
262,SKU-00262,Kitchen Item 262,kitchen,364.04,USD,Sample description 262
263,SKU-00263,Books Item 263,books,486.82,USD,Sample description 263
264,SKU-00264,Outdoors Item 264,outdoors,478.55,USD,Sample description 264
265,SKU-00265,Kitchen Item 265,kitchen,216.35,USD,Sample description 265
266,SKU-00266,Electronics Item 266,electronics,258.74,USD,Sample description 266
267,SKU-00267,Electronics Item 267,electronics,193.67,USD,Sample description 267
268,SKU-00268,Electronics Item 268,electronics,52.61,USD,Sample description 268
269,SKU-00269,Fitness Item 269,fitness,297.25,USD,Sample description 269
270,SKU-00270,Outdoors Item 270,outdoors,430.22,USD,Sample description 270
271,SKU-00271,Outdoors Item 271,outdoors,181.95,USD,Sample description 271
272,SKU-00272,Books Item 272,books,83.11,USD,Sample description 272
273,SKU-00273,Fitness Item 273,fitness,93.01,USD,Sample description 273
274,SKU-00274,Tools Item 274,tools,295.74,USD,Sample description 274
275,SKU-00275,Books Item 275,books,443.85,USD,Sample description 275
276,SKU-00276,Fitness Item 276,fitness,234.2,USD,Sample description 276
277,SKU-00277,Outdoors Item 277,outdoors,177.1,USD,Sample description 277
278,SKU-00278,Outdoors Item 278,outdoors,227.84,USD,Sample description 278
279,SKU-00279,Kitchen Item 279,kitchen,249.12,USD,Sample description 279
280,SKU-00280,Fitness Item 280,fitness,392.87,USD,Sample description 280
281,SKU-00281,Tools Item 281,tools,340.6,USD,Sample description 281
282,SKU-00282,Fitness Item 282,fitness,449.35,USD,Sample description 282
283,SKU-00283,Fitness Item 283,fitness,152.95,USD,Sample description 283
284,SKU-00284,Outdoors Item 284,outdoors,283.54,USD,Sample description 284
285,SKU-00285,Office Item 285,office,95.08,USD,Sample description 285
286,SKU-00286,Office Item 286,office,260.77,USD,Sample description 286
287,SKU-00287,Electronics Item 287,electronics,445.85,USD,Sample description 287
288,SKU-00288,Outdoors Item 288,outdoors,459.59,USD,Sample description 288
289,SKU-00289,Books Item 289,books,219.24,USD,Sample description 289
290,SKU-00290,Office Item 290,office,427.72,USD,Sample description 290
291,SKU-00291,Toys Item 291,toys,29.93,USD,Sample description 291
292,SKU-00292,Kitchen Item 292,kitchen,44.99,USD,Sample description 292
293,SKU-00293,Office Item 293,office,201.08,USD,Sample description 293
294,SKU-00294,Electronics Item 294,electronics,34.87,USD,Sample description 294
295,SKU-00295,Tools Item 295,tools,172.48,USD,Sample description 295
296,SKU-00296,Electronics Item 296,electronics,451.5,USD,Sample description 296
297,SKU-00297,Books Item 297,books,404.19,USD,Sample description 297
298,SKU-00298,Office Item 298,office,382.42,USD,Sample description 298
299,SKU-00299,Fitness Item 299,fitness,368.56,USD,Sample description 299
300,SKU-00300,Tools Item 300,tools,399.67,USD,Sample description 300
301,SKU-00301,Toys Item 301,toys,431.51,USD,Sample description 301
302,SKU-00302,Office Item 302,office,167.4,USD,Sample description 302
303,SKU-00303,Kitchen Item 303,kitchen,218.88,USD,Sample description 303
304,SKU-00304,Office Item 304,office,349.87,USD,Sample description 304
305,SKU-00305,Books Item 305,books,460.15,USD,Sample description 305
306,SKU-00306,Toys Item 306,toys,179.62,USD,Sample description 306
307,SKU-00307,Kitchen Item 307,kitchen,201.6,USD,Sample description 307
308,SKU-00308,Kitchen Item 308,kitchen,62.58,USD,Sample description 308
309,SKU-00309,Fitness Item 309,fitness,176.59,USD,Sample description 309
310,SKU-00310,Outdoors Item 310,outdoors,10.5,USD,Sample description 310
311,SKU-00311,Kitchen Item 311,kitchen,379.24,USD,Sample description 311
312,SKU-00312,Electronics Item 312,electronics,68.67,USD,Sample description 312
313,SKU-00313,Toys Item 313,toys,49.39,USD,Sample description 313
314,SKU-00314,Electronics Item 314,electronics,68.34,USD,Sample description 314
315,SKU-00315,Books Item 315,books,81.93,USD,Sample description 315
316,SKU-00316,Kitchen Item 316,kitchen,494.03,USD,Sample description 316
317,SKU-00317,Office Item 317,office,224.88,USD,Sample description 317
318,SKU-00318,Books Item 318,books,226.86,USD,Sample description 318
319,SKU-00319,Kitchen Item 319,kitchen,390.55,USD,Sample description 319
320,SKU-00320,Office Item 320,office,435.32,USD,Sample description 320
321,SKU-00321,Tools Item 321,tools,68.91,USD,Sample description 321
322,SKU-00322,Kitchen Item 322,kitchen,313.5,USD,Sample description 322
323,SKU-00323,Fitness Item 323,fitness,423.14,USD,Sample description 323
324,SKU-00324,Tools Item 324,tools,379.93,USD,Sample description 324
325,SKU-00325,Office Item 325,office,170.01,USD,Sample description 325
326,SKU-00326,Fitness Item 326,fitness,394.51,USD,Sample description 326
327,SKU-00327,Electronics Item 327,electronics,169.79,USD,Sample description 327
328,SKU-00328,Books Item 328,books,164.14,USD,Sample description 328
329,SKU-00329,Office Item 329,office,285.46,USD,Sample description 329
330,SKU-00330,Toys Item 330,toys,143.23,USD,Sample description 330
331,SKU-00331,Electronics Item 331,electronics,385.41,USD,Sample description 331
332,SKU-00332,Outdoors Item 332,outdoors,77.07,USD,Sample description 332
333,SKU-00333,Toys Item 333,toys,343.87,USD,Sample description 333
334,SKU-00334,Fitness Item 334,fitness,438.25,USD,Sample description 334
335,SKU-00335,Books Item 335,books,77.47,USD,Sample description 335
